"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Active travel to school","Children & young people","Children & young people - Active","Percentage of primary and secondary school children normally travelling to school in an active way (walking, cycling, and using a scooter, skateboard or inline/roller skates).","Hands Up Scotland Survey (HUSS), Sustrans (Official statistic)","Children should have opportunities to be physically active. Physical activity has benefits for children’s growth, development, mental health and wellbeing, and can contribute to the prevention of many chronic conditions such as obesity and diabetes. Active travel, including to and from school, offers an opportunity to incorporate regular physical activity into a child’s daily routine. The Scottish Government has prioritised ‘increasing physical activity’ in the general population by making it a national indicator.","N/A","All primary and secondary school children (excluding SEN) who report they normally travel to school in an active way (walking, cycling, and using a scooter, skateboard or inline/roller skates).","All primary and secondary children (excluding SEN) participating in the survey. Response rate varies across local authorites, years and school type. Please see notes and caveats section.","Percentage","%","None","N",0,"None","Primary and secondary school children","All","Survey year","2008/09 - 2024/25","Single year","Annual","Council area, Health board, HSCP, ADP, Scotland","Byar's approximation","Sustrans does not employ quota-based sampling or selective participation mechanisms. The ScotPHO indicator includes children attending state funded primary and secondary schools participating in HUSS, excluding Special Educational Needs (SEN) schools. 
 
 There are limitations to the comparability of data across years; although survey design and methodology have remained consistent, survey sample size has increased considerably. Response rates vary by year and geography.
 
 Data in the following Local Authorities and years is based on primary school responses only: 
 Falkirk (2008, 2009), Dundee City (2009), West Dunbartonshire (2009, 2010, 2011), Glasgow City (2012). 
 
 In these cases, data is not directly comparable to other local authorities and other years where both primary and secondary school data is aggregated. 
 
 There was a particularly low rate of response (less than 25%) from the following years and local authorities: 
 ∙ ≤ 5% - Secondary – 
 Argyll and Bute (2008, 2012), Clackmannanshire (2018), Dundee City (2010), Orkney (2011), Western Isles (2010, 2018)
 
 ∙ ≤ 25% - Secondary – 
 Argyll and Bute (2011, 2013), Clackmannanshire (2014), Dumfries & Galloway (2008), Dundee City (2013), East Dunbartonshire (2011), East Renfrewshire (2017), Edinburgh City (2009, 2016, 2017, 2018), Glasgow City (2008, 2010, 2011, 2013, 2014, 2017, 2018), North Lanarkshire (2008), Orkney (2010), South Ayrshire (2010, 2012), Stirling (2011), West Dunbartonshire (2012), Western Isles (2009, 2012, 2014) 
 
 ∙ ≤ 25% - Primary – 
 Edinburgh City (2009)
 
 Care should be taken when interpreting these results. For full details on response rates","[Hands up Scotland Survey](https://www.sustrans.org.uk/our-blog/projects/uk-wide/scotland/hands-up-scotland-survey)",NA,"Aug-2025","Aug-2026","N/A","O",NA,1,"CYP-Active","PAO-Active Travel","CWB-Healthy places",NA,NA,"CYP-Active;PAO-Active Travel;CWB-Healthy places","[Transport section](https://www.scotpho.org.uk/wider-determinants/transport/)"
"Active travel to work","Health & wellbeing","Behaviours","Number and percentage of adults travelling to work by either cycling or walking.
 
 The indicator used the cohort of all adults employed, self-employed or in full-time education and not working from home taken from the random respondents to SHS question RD3 ""How do you usually travel to work (or school/college/ university if in full time education)?"" and measures those who responded with either walking or cycling.","Scottish Household Survey",NA,"N/A","Individuals responding with either walking or cycling to SHS question RD3 ""How do you usually travel to work (or school/college/ university if in full time education)?""","All adults travelling to work","Percentage","%","None","N",0,"None","Working age adults","All","Survey year","2007/2008-2022/2023","2-year aggregate","Annual","Council area, Health board, Scotland","Confidence intervals provided by SHS","Typically, SHS respondents are interviewed face-to-face, in their homes. However, in March 2020 the fieldwork approach was altered in response to the Covid-19 pandemic. Therefore, figures for 2020 are not directly comparable to previous years and should be treated with caution.",NA,NA,"Sep-2025","Jun-2026","Higher numbers are better","H","Scottish Household Survey",1,"HWB-Behaviours","PAO-Active Travel","CWB-Healthy places",NA,NA,"HWB-Behaviours;PAO-Active Travel;CWB-Healthy places","[Transport section](https://www.scotpho.org.uk/wider-determinants/transport/)"
"Adults claiming incapacity benefit/severe disability allowance","Health & wellbeing","Social care & housing","Number and percentage of all adults aged 16+ claiming incapacity benefit (IB)/severe disability allowance (SDA) or employment and support allowance (ESA).","Department for Work and Pensions",NA,"N/A",NA,NA,"Percentage","%","Already suppressed by data supplier","N",0,"None",NA,"All","May Snapshot","2009 - 2016 (May snapshot)","Yearly snapshot","Annual","Council area, Health board, Scotland","Wilson's Score method","IB claimant figures are declining rapidly over time due to the introduction of the ESA (http://www.cpag.org.uk/esa/) scheme.",NA,NA,"Sep-2017","Archived","Higher numbers are worse","L","DWP tabulation tool 
  http://tabulation-tool.dwp.gov.uk/NESS/page1.htm or NOMIS: www.nomisweb.co.uk",1,"HWB-Social care & housing",NA,NA,NA,NA,"HWB-Social care & housing;;",NA
"Alcohol brief interventions (ABIs) delivered","Alcohol","Alcohol-Services","Number of alcohol brief interventions delivered in accordance with the HEAT Standard guidance & as percentage of target. Data available at
 Health Board Level based on boundaries in place prior to April 2014.","Public Health Scotland, Health Improvement Team",NA,"N/A","Number of alcohol brief interventions carried out","Number of alcohol brief interventions targeted by the Government","Percentage","%","None","N",0,"None","All","All","Financial year","2008/09 - 2019/20","Single year","Annual","Health board, Scotland","No confidence intervals",NA,"[Alcohol brief interventions](https://publichealthscotland.scot/publications/alcohol-brief-interventions)",NA,"Dec-2020","TBC","Higher numbers are better","H","Public Health Scotland (PHS)",1,"ALC-Services",NA,NA,NA,NA,"ALC-Services;;","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/)"
"Alcohol treatment waiting times - % where LDP Standard (90%) not met","Alcohol","Alcohol-Services","The LDP Standard is that 90% of people referred for help with problematic drug or alcohol use will wait no longer than three weeks for specialist treatment that supports their recovery. ","These data were extracted from the Drug and Alcohol Information System (DAISy) and its predecessor the Drug and Alcohol Treatment Waiting Times (DATWT) database. DAISy was available in all NHS Boards from April 2021 and replaces two previous systems: the DATWT database and the Scottish Drug Misuse Database (SDMD). DAISy and its predecessors hold data in relation to drug and alcohol treatments and waiting times from services throughout Scotland delivering tier 3 and 4 interventions (i.e. structured community and residential treatment). 
 
 Further information on DAISy can be found here: https://www.publichealthscotland.scot/our-areas-of-work/substance-use/data-and-intelligence/drug-and-alcohol-information-system-daisy/",NA,"N/A","Number of referrals waiting more than 3 weeks","All referrals","Percentage","%","None","N",0,"None","All","All","Financial year","2011/12 - 2022/23","Single year","Annual","Alcohol & drug partnership, Health board, Scotland","Wilson's Score method","The implementation of DAISy introduced changes to how data are captured, and these should be considered when making comparisons over time. A 'co-dependency' substance type was introduced for cases where the referral relates to treatment for problematic use of both alcohol and drugs. Previously in DATWT, such cases would have been allocated to either ’alcohol’ or ‘drug’ depending on the substance considered the dominant issue. 
 These data relate to number of referrals rather than number of individuals. Where people are referred to more than one service, they have more than one referral.
 
 Data includes referrals to community-based services (referrals to prison-based services are excluded).
 
 ADPs have the responsibility of ensuring the submission of accurate and up-to-date information by treatment services. To this end, each quarter ADPs are asked to check and confirm the data for their area. If an ADP is unable to confirm the data for a service, then the service is excluded from the data (both for the period of non-submission and all other periods). Ten (of 204) services have been excluded from this release as they were unable to confirm their data. For more information on the services excluded, see Section 5 of the National drug and alcohol treatment waiting times report, 1 April 2022 to 30 June 2022, available here: https://publichealthscotland.scot/publications/show-all-releases?id=20553","[National drug and alcohol treatment waiting times](https://publichealthscotland.scot/publications/national-drug-and-alcohol-treatment-waiting-times/)",NA,"Nov-2023","Oct-2025","Higher numbers are worse","L","Public Health Scotland, Drugs Team",1,"ALC-Services",NA,NA,NA,NA,"ALC-Services;;","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/)"
"Alcohol weekly drinkers, pupils age 15","Alcohol","Alcohol-Prevalence","Percentage of 15 year old pupils drinking on a weekly basis.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,NA,"Percentage","%","None","N",0,NA,NA,NA,"Survey years","2006, 2010, 2013","Single year","After SALSUS publication","Council area, Alcohol & drug partnership, Health board, Scotland","Normal distribution",NA,NA,NA,"Dec-2014","Archived","Higher numbers are worse","L","The Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",1,"ALC-Prevalence","CYP-Responsible",NA,NA,NA,"ALC-Prevalence;CYP-Responsible;",NA
"Alcohol-related hospital admissions","Alcohol, Health & wellbeing,Care & wellbeing","Behaviours, Alcohol-Health","General acute inpatient and day case stays with diagnosis of alcohol misuse in any position.
 
 All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates.","Public Health Scotland (SMR01)",NA,"All diagnostic positions ICD-10 code: E24.4, E51.2, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, O35.4, P04.3, Q86.0, R78.0, T51.0, T51.1, T51.9, X45, X65, Y15, Y57.3, Y90, Y91, Z50.2, Z71.4, Z72.1.","Total number of general acute inpatient and day case stays with a diagnosis of alcohol misuse in any position","Total population","Age-sex standardised rate per 100,000","sr","Statistical disclosure control has been applied.","N",0,"None","All","All","Financial year","2002/03 - 2023/24","Single year","Annual","Intermediate zone, HSC locality, HSC partnership, Alcohol & drug partnership, Council area, Health board, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.","Public Health Scotland publish annual [Alcohol related hospital statistics](https://publichealthscotland.scot/publications/alcohol-related-hospital-statistics/). This release includes the [Alcohol Consumption and Harms Dashboard](https://scotland.shinyapps.io/phs-health-achd/) which provides more detailed breakdowns at national, local and board level.","Public Health Scotland provide an overview of [key statistics on alcohol misuse, related harms and actions to reduce them](https://publichealthscotland.scot/population-health/improving-scotlands-health/alcohol/overview-of-alcohol-related-harm/).","Jan-2025","Winter 2025","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database)",3,"HWB-Behaviours","ALC-Health",NA,"Hospital admissions",NA,"HWB-Behaviours;ALC-Health;","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/)"
"Alcohol-related hospital admissions, aged 11-25 years","Children & young people, Alcohol","Children & young people - Healthy, Alcohol-Health","General acute inpatient and day case stays in young people aged 11-25 years with a diagnosis of alcohol misuse in any position, 3-year rolling average number and directly age-sex standardised rate per 100,000 population.","Public Health Scotland (SMR01)",NA,"All diagnostic positions ICD-10 code: E24.4, E51.2, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, O35.4, P04.3, Q86.0, R78.0, T51.0, T51.1, T51.9, X45, X65, Y15, Y57.3, Y90, Y91, Z50.2, Z71.4, Z72.1.","Total number of general acute inpatient and day case stays in young people aged 11-25 years with a diagnosis of alcohol misuse in any position","Total population aged 11-25 years","Age-sex standardised rate per 100,000","sr","Statistical disclosure control has been applied.","N",0,"None","11-25 years","All","Financial year","2002/3-2004/5 to 2020/21-2023/24","3-year aggregate","Annual","Council area, Health board, Scotland","Dobson's method","Hospital activity data are collected across the NHS in Scotland and are based on nationally available information routinely drawn from hospital administrative systems across the country. The principal data source for general acute inpatient & day case stays is the SMR01 dataset. The count and rates presented in this indicator do not include attendance resulting in A&E attendance only. Each individual patient may have more than one stay and hence the number of people discharged within a year will be less than the total number of stays. When figures are broken down by geographical area and age the numbers in some categories can be very small; this indicator therefore uses a combined and averaged three-year period to ensure reasonably robust estimates for small areas. 
 
 Up to six diagnoses are recorded per admission, and episodes with either a main or a supplementary diagnosis of alcohol misuse are included. 
 
 Note that some caution is necessary when using these data, as alcohol misuse may only be suspected and may not always be recorded by the hospital. The figures presented here are based on all alcohol-related diagnoses throughout the hospital stay and will reflect prevalence in the catchment area as well as local policy with regard to hospital admission and discharge. For this indicator the discharge date refers to the end of the patient’s continuous hospital stay, which can be made up of a number of records depending if the patient has been transferred from one hospital to another or from one specialty to another during the stay. 
 
 Rates have been standardised to the European Standard Population 2013.","Public Health Scotland publish annual [Alcohol related hospital statistics](https://publichealthscotland.scot/publications/alcohol-related-hospital-statistics/). This release includes the [Alcohol Consumption and Harms Dashboard](https://scotland.shinyapps.io/phs-health-achd/) which provides more detailed breakdowns of alcohol-related admissions at national, local and board level.","Public Health Scotland provide an overview of [key statistics on alcohol misuse, related harms and actions to reduce them](https://publichealthscotland.scot/population-health/improving-scotlands-health/alcohol/overview-of-alcohol-related-harm/).","Jan-2025","Jan-2026","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database)",2,"CYP-Healthy","ALC-Health",NA,"Hospital admissions",NA,"CYP-Healthy;ALC-Health;","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/)"
"Alcohol-specific deaths","Alcohol, Health & wellbeing,Care & wellbeing","Behaviours, Alcohol-Health","Alcohol related deaths (based on new National Statistics definition): 5-year rolling average number and directly age-sex standardised rate per 100,000 population.","National Records of Scotland (NRS)",NA,"Primary cause of death ICD-10 codes: 
 E24.4,F10,G31.2,G62.1,G72.1,I42.6,K29.2,K70,K85.2,K86.0,Q86.0,R78.0,X45,X65,Y15","Number of alcohol-specific deaths","Total population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","All","Calendar year of death registration","2002/06 - 2019/23","5-year aggregate","Annual","HSC locality, HSC partnership, Alcohol & drug partnership, Council area, Health board, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.

In November 2018 ScotPHO revised alcohol related mortality indicator data to reflect the new National Statistics defintion. These are deaths which are known to be direct consequences of alcohol misuse, meaning they are wholly attributable to alcohol misuse. Time series data has been recalculated based on new diagnotic code selections and may differ to previously published estimates. Year of death based on date of registration.","National Records of Scotland publish annual [Alcohol-specific deaths](https://www.nrscotland.gov.uk/publications/alcohol-specific-deaths-2023/#). Note that NRS figures are based on all deaths occuring in Scotland whereas ScotPHO profile indicators are based on deaths in Scottish residents, which may result in small differences in reported deaths.",NA,"Jan-2025","Winter 2025","Higher numbers are worse","L","Extracted from catalogue (NRS/SMR99)",3,"HWB-Behaviours","ALC-Health","CWB-Impact of ill health prevention","Deaths",NA,"HWB-Behaviours;ALC-Health;CWB-Impact of ill health prevention","[Alcohol: health harm section](https://www.scotpho.org.uk/risk-factors/alcohol/data/health-harm/)"
"Alcohol-specific deaths, females","Alcohol, Mental Health","Mental Health-Female adult, Alcohol-Health","Alcohol related deaths (underlying cause): 5-year rolling average number and directly age-sex standardised rate per 100,000 population. 
  
  All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates.","National Records of Scotland (NRS)",NA,"ICD-10 codes: F10, K70, K73, X45, X65, Y15, G31.2, G62.1, I42.6, K29.2, K74.0, K74.1, K74.2, K74.6, K86.0, (before 1997 ICD-9 code: 291, 303, 3050, 4255, 5710-5715, 5718, 5719,E860 )","Number of alcohol-specific deaths for females","Total female population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","Female","Calendar year","2002/06 - 2019/23","5-year aggregate","Annual","HSC partnership, Alcohol & drug partnership, Council area, Health board, Scotland","Dobson's method","In November 2018 ScotPHO revised alcohol related mortality indicator data to reflect the new National Statistics defintion. These are deaths which are known to be direct consequences of alcohol misuse, meaning they are wholly attributable to alcohol misuse. Time series data has been recalculated based on new diagnotic code selections and may differ to previously published estimates. Year of death based on date of registration.","National Records of Scotland publish annual [Alcohol-specific deaths](https://www.nrscotland.gov.uk/publications/alcohol-specific-deaths-2023/#). Note that NRS figures are based on all deaths occuring in Scotland whereas ScotPHO profile indicators are based on deaths in Scottish residents, which may result in small differences in reported deaths.",NA,"Jan-2025","Winter 2025","Higher numbers are worse","L","Extracted from catalogue (NRS/SMR99)",1,"ALC-Health",NA,NA,NA,NA,"ALC-Health;;","[Alcohol: health harm section](https://www.scotpho.org.uk/risk-factors/alcohol/data/health-harm/)"
